match_id,team1,team2,elo_team1_pre,elo_team2_pre,elo_diff_pre,season
524915,Sydney Sixers,Brisbane Heat,1500.0,1500.0,0.0,2011
524916,Melbourne Stars,Sydney Thunder,1500.0,1500.0,0.0,2011
524918,Perth Scorchers,Hobart Hurricanes,1500.0,1500.0,0.0,2011
524917,Adelaide Strikers,Melbourne Renegades,1500.0,1500.0,0.0,2011
524919,Brisbane Heat,Melbourne Stars,1490.0,1490.0,0.0,2011
524920,Hobart Hurricanes,Sydney Sixers,1510.0,1510.0,0.0,2011
524921,Melbourne Renegades,Perth Scorchers,1490.0,1490.0,0.0,2011
524922,Sydney Thunder,Adelaide Strikers,1510.0,1510.0,0.0,2011
524923,Sydney Sixers,Melbourne Stars,1500.0,1500.0,0.0,2011
524924,Adelaide Strikers,Hobart Hurricanes,1500.0,1520.0,-20.0,2011
524925,Perth Scorchers,Brisbane Heat,1500.0,1480.0,20.0,2011
524926,Sydney Thunder,Melbourne Renegades,1520.0,1480.0,40.0,2011
524927,Hobart Hurricanes,Sydney Thunder,1529.4249887221547,1508.8537673247542,20.57122139740045,2012
524928,Melbourne Renegades,Sydney Sixers,1491.1462326752458,1510.0,-18.853767324754244,2012
524930,Melbourne Stars,Perth Scorchers,1490.0,1509.4249887221547,-19.424988722154694,2012
524933,Sydney Thunder,Sydney Sixers,1499.4451637518157,1499.4578769887073,-0.012713236891613633,2012
524934,Perth Scorchers,Adelaide Strikers,1518.8664744330495,1490.5750112778453,28.291463155204156,2012
524935,Hobart Hurricanes,Melbourne Stars,1538.8335922950932,1480.5585142891052,58.27507800598801,2012
524936,Adelaide Strikers,Sydney Sixers,1481.38751001415,1509.4575110723356,-28.070001058185653,2012
524938,Melbourne Renegades,Brisbane Heat,1501.6883556865384,1470.5750112778453,31.113344408693138,2012
524939,Brisbane Heat,Sydney Thunder,1481.4681391252684,1489.4455296681874,-7.977390542919011,2012
524941,Sydney Sixers,Perth Scorchers,1518.6513447751795,1528.0539756967448,-9.402630921565333,2012
524940,Hobart Hurricanes,Melbourne Renegades,1527.1718548312465,1490.7952278391153,36.37662699213115,2012
