match_id,checkpoint,season,venue,toss_winner,winner,batting_first_team,target_batfirst,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,par_runs_cp_final,par_gap_cp,exp_remain_final,exp_final_20,resource_frac,venue_mean_runs_cp,venue_mean_wkts_cp,season_mean_runs_cp,season_mean_wkts_cp,venue_mean_exp_final20
524915,6,2011,"Sydney Cricket Ground, Sydney",Brisbane Heat,Sydney Sixers,Brisbane Heat,0,37,0,14,6.166666666666667,37.0,2.466666666666667,0.3,33,0,6.6,6.6,53.71028037383178,-16.71028037383178,122.3644859813084,159.3644859813084,0.7571420873544606,45.98275862068966,1.6206896551724137,46.333333333333336,0.6666666666666666,158.9751133410484
524915,10,2011,"Sydney Cricket Ground, Sydney",Brisbane Heat,Sydney Sixers,Brisbane Heat,0,50,3,10,5.0,12.5,1.1363636363636365,0.5,22,3,4.4,-1.5999999999999996,69.30201342281879,-19.30201342281879,84.68456375838926,134.68456375838926,0.5239939256601219,73.89473684210526,2.6491228070175437,74.25,1.6666666666666667,158.9751133410484
524915,15,2011,"Sydney Cricket Ground, Sydney",Brisbane Heat,Sydney Sixers,Brisbane Heat,0,104,5,5,6.933333333333334,17.333333333333332,2.888888888888889,0.75,54,2,10.8,6.800000000000001,103.86585365853658,0.1341463414634205,43.68292682926829,147.6829268292683,0.2702923330738018,111.64814814814815,3.925925925925926,115.83333333333333,3.4166666666666665,158.9751133410484
524915,20,2011,"Sydney Cricket Ground, Sydney",Brisbane Heat,Sydney Sixers,Brisbane Heat,0,139,8,0,6.95,15.444444444444445,15.444444444444445,1.0,35,3,7.0,1.0,152.3661971830986,-13.366197183098592,0.0,139.0,0.0,160.01960784313727,6.490196078431373,162.41666666666666,6.666666666666667,158.9751133410484
524916,6,2011,Melbourne Cricket Ground,Sydney Thunder,Sydney Thunder,Melbourne Stars,0,37,1,14,6.166666666666667,18.5,1.2333333333333334,0.3,34,1,6.8,4.8,47.2952380952381,-10.295238095238098,119.83809523809524,156.83809523809524,0.7415098003763451,45.59375,1.34375,46.333333333333336,0.6666666666666666,160.14499587536227
524916,10,2011,Melbourne Cricket Ground,Sydney Thunder,Sydney Thunder,Melbourne Stars,0,72,2,10,7.2,24.0,2.1818181818181817,0.5,42,1,8.4,6.4,76.94827586206897,-4.948275862068968,88.93103448275862,160.9310344827586,0.5502693738210349,73.25,2.34375,74.25,1.6666666666666667,160.14499587536227
524916,15,2011,Melbourne Cricket Ground,Sydney Thunder,Sydney Thunder,Melbourne Stars,0,113,5,5,7.533333333333333,18.833333333333332,3.138888888888889,0.75,41,3,8.2,2.1999999999999993,103.86585365853658,9.13414634146342,43.68292682926829,156.6829268292683,0.2702923330738018,113.03125,3.5625,115.83333333333333,3.4166666666666665,160.14499587536227
524916,20,2011,Melbourne Cricket Ground,Sydney Thunder,Sydney Thunder,Melbourne Stars,0,153,7,0,7.65,19.125,19.125,1.0,40,2,8.0,4.0,161.1888888888889,-8.188888888888897,0.0,153.0,0.0,157.421875,6.59375,162.41666666666666,6.666666666666667,160.14499587536227
524917,6,2011,Adelaide Oval,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,1,55,0,14,9.166666666666666,55.0,3.6666666666666665,0.3,42,0,8.4,8.4,53.71028037383178,1.2897196261682211,122.3644859813084,177.3644859813084,0.7571420873544606,47.014084507042256,1.3098591549295775,46.333333333333336,0.6666666666666666,165.88374827806138
524917,10,2011,Adelaide Oval,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,1,86,1,10,8.6,43.0,3.909090909090909,0.5,37,1,7.4,5.4,83.3076923076923,2.6923076923076934,95.89423076923076,181.89423076923077,0.5933548240537412,77.98591549295774,2.267605633802817,74.25,1.6666666666666667,165.88374827806138
