match_id,checkpoint,season,venue,toss_winner,winner,batting_first_team,target_batfirst,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,par_runs_cp_final,par_gap_cp,exp_remain_final,exp_final_20,resource_frac,venue_mean_runs_cp,venue_mean_wkts_cp,season_mean_runs_cp,season_mean_wkts_cp,venue_mean_exp_final20,team1,team2,elo_team1_pre,elo_team2_pre,elo_diff_pre,elo_bat_first,elo_bowl_first,elo_diff
1269675,6,2022,Carrara Oval,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,35,1,14,5.833333333333333,17.5,1.1666666666666667,0.3,28,1,5.6,3.5999999999999996,47.2952380952381,-12.295238095238098,119.83809523809524,154.83809523809524,0.7415098003763451,44.0625,1.5,44.767857142857146,1.3214285714285714,158.2942331877367,Perth Scorchers,Sydney Sixers,1564.0794158453614,1618.9595938644757,-54.88017801911428,1564.0794158453614,1618.9595938644757,-54.88017801911428
1269675,10,2022,Carrara Oval,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,62,1,10,6.2,31.0,2.8181818181818183,0.5,35,0,7.0,7.0,83.3076923076923,-21.307692307692307,95.89423076923076,157.89423076923077,0.5933548240537412,69.875,2.375,75.08928571428571,2.4285714285714284,158.2942331877367,Perth Scorchers,Sydney Sixers,1564.0794158453614,1618.9595938644757,-54.88017801911428,1564.0794158453614,1618.9595938644757,-54.88017801911428
1269675,15,2022,Carrara Oval,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,83,5,5,5.533333333333333,13.833333333333334,2.305555555555556,0.75,21,4,4.2,-3.8,103.86585365853658,-20.86585365853658,43.68292682926829,126.6829268292683,0.2702923330738018,110.86666666666666,3.8,114.98181818181818,4.036363636363636,158.2942331877367,Perth Scorchers,Sydney Sixers,1564.0794158453614,1618.9595938644757,-54.88017801911428,1564.0794158453614,1618.9595938644757,-54.88017801911428
1269675,20,2022,Carrara Oval,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,143,8,0,7.15,15.88888888888889,15.88888888888889,1.0,60,3,12.0,6.0,152.3661971830986,-9.366197183098592,0.0,143.0,0.0,159.41666666666666,6.416666666666667,163.0943396226415,6.660377358490566,158.2942331877367,Perth Scorchers,Sydney Sixers,1564.0794158453614,1618.9595938644757,-54.88017801911428,1564.0794158453614,1618.9595938644757,-54.88017801911428
1269676,6,2022,Adelaide Oval,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,1,44,2,14,7.333333333333333,14.666666666666666,0.9777777777777776,0.3,36,2,7.2,3.2,41.6,2.3999999999999986,108.84827586206896,152.84827586206896,0.6735092304782778,47.014084507042256,1.3098591549295775,44.767857142857146,1.3214285714285714,165.88374827806138,Adelaide Strikers,Melbourne Stars,1471.1711952790547,1482.5777059887678,-11.406510709713077,1471.1711952790547,1482.5777059887678,-11.406510709713075
1269676,10,2022,Adelaide Oval,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,1,74,3,10,7.4,18.5,1.681818181818182,0.5,34,2,6.8,2.8,69.30201342281879,4.6979865771812115,84.68456375838926,158.68456375838926,0.5239939256601219,77.98591549295774,2.267605633802817,75.08928571428571,2.4285714285714284,165.88374827806138,Adelaide Strikers,Melbourne Stars,1471.1711952790547,1482.5777059887678,-11.406510709713077,1471.1711952790547,1482.5777059887678,-11.406510709713075
1269676,15,2022,Adelaide Oval,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,1,105,3,5,7.0,26.25,4.375,0.75,31,0,6.2,6.2,120.06428571428572,-15.064285714285717,50.65,155.65,0.313401771902686,117.92753623188406,3.550724637681159,114.98181818181818,4.036363636363636,165.88374827806138,Adelaide Strikers,Melbourne Stars,1471.1711952790547,1482.5777059887678,-11.406510709713077,1471.1711952790547,1482.5777059887678,-11.406510709713075
1269676,20,2022,Adelaide Oval,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,1,155,6,0,7.75,22.142857142857142,22.142857142857142,1.0,50,3,10.0,4.0,162.57843137254903,-7.5784313725490335,0.0,155.0,0.0,169.55384615384617,6.107692307692307,163.0943396226415,6.660377358490566,165.88374827806138,Adelaide Strikers,Melbourne Stars,1471.1711952790547,1482.5777059887678,-11.406510709713077,1471.1711952790547,1482.5777059887678,-11.406510709713075
1269677,6,2022,"Docklands Stadium, Melbourne",Melbourne Renegades,Sydney Thunder,Sydney Thunder,1,59,1,14,9.833333333333334,29.5,1.9666666666666663,0.3,48,1,9.6,7.6,47.2952380952381,11.704761904761902,119.83809523809524,178.83809523809524,0.7415098003763451,43.77777777777778,1.5873015873015872,44.767857142857146,1.3214285714285714,160.46247541479894,Sydney Thunder,Melbourne Renegades,1522.1813010305125,1427.6581241521765,94.52317687833602,1522.1813010305125,1427.6581241521765,94.52317687833602
1269677,10,2022,"Docklands Stadium, Melbourne",Melbourne Renegades,Sydney Thunder,Sydney Thunder,1,96,2,10,9.6,32.0,2.909090909090909,0.5,47,1,9.4,7.4,76.94827586206897,19.051724137931032,88.93103448275862,184.9310344827586,0.5502693738210349,73.0952380952381,2.412698412698413,75.08928571428571,2.4285714285714284,160.46247541479894,Sydney Thunder,Melbourne Renegades,1522.1813010305125,1427.6581241521765,94.52317687833602,1522.1813010305125,1427.6581241521765,94.52317687833602
1269677,15,2022,"Docklands Stadium, Melbourne",Melbourne Renegades,Sydney Thunder,Sydney Thunder,1,155,4,5,10.333333333333334,31.0,5.166666666666667,0.75,59,2,11.8,7.800000000000001,112.85897435897436,42.141025641025635,47.43589743589744,202.43589743589743,0.2935142015440145,112.46031746031746,3.8412698412698414,114.98181818181818,4.036363636363636,160.46247541479894,Sydney Thunder,Melbourne Renegades,1522.1813010305125,1427.6581241521765,94.52317687833602,1522.1813010305125,1427.6581241521765,94.52317687833602
1269677,20,2022,"Docklands Stadium, Melbourne",Melbourne Renegades,Sydney Thunder,Sydney Thunder,1,209,7,0,10.45,26.125,26.125,1.0,54,3,10.8,4.800000000000001,161.1888888888889,47.8111111111111,0.0,209.0,0.0,163.86666666666667,6.0,163.0943396226415,6.660377358490566,160.46247541479894,Sydney Thunder,Melbourne Renegades,1522.1813010305125,1427.6581241521765,94.52317687833602,1522.1813010305125,1427.6581241521765,94.52317687833602
