match_id,checkpoint,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,toss_win,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,season,toss_decision,target_batfirst,date,winner,bat_first_team
524924,10,69,1,10,6.9,34.5,3.136363636363636,0.5,0,33,1,6.6,4.6,2011,bat,1,2011-12-28,Hobart Hurricanes,Hobart Hurricanes
524924,15,105,2,5,7.0,35.0,5.833333333333333,0.75,0,36,1,7.2,5.2,2011,bat,1,2011-12-28,Hobart Hurricanes,Hobart Hurricanes
524924,20,171,4,0,8.55,34.2,34.2,1.0,0,66,2,13.2,9.2,2011,bat,1,2011-12-28,Hobart Hurricanes,Hobart Hurricanes
524925,6,68,0,14,11.333333333333334,68.0,4.533333333333333,0.3,1,58,0,11.6,11.6,2011,bat,1,2011-12-29,Perth Scorchers,Perth Scorchers
524925,10,91,2,10,9.1,30.333333333333332,2.7575757575757573,0.5,1,38,2,7.6,3.5999999999999996,2011,bat,1,2011-12-29,Perth Scorchers,Perth Scorchers
524925,15,129,5,5,8.6,21.5,3.5833333333333335,0.75,1,38,3,7.6,1.5999999999999996,2011,bat,1,2011-12-29,Perth Scorchers,Perth Scorchers
524925,20,162,8,0,8.1,18.0,18.0,1.0,1,33,3,6.6,0.5999999999999996,2011,bat,1,2011-12-29,Perth Scorchers,Perth Scorchers
524926,6,51,0,14,8.5,51.0,3.4,0.3,0,47,0,9.4,9.4,2011,bat,1,2011-12-30,Melbourne Renegades,Melbourne Renegades
524926,10,81,0,10,8.1,81.0,7.363636363636363,0.5,0,38,0,7.6,7.6,2011,bat,1,2011-12-30,Melbourne Renegades,Melbourne Renegades
524926,15,108,3,5,7.2,27.0,4.5,0.75,0,27,3,5.4,-0.5999999999999996,2011,bat,1,2011-12-30,Melbourne Renegades,Melbourne Renegades
524926,20,140,8,0,7.0,15.555555555555555,15.555555555555555,1.0,0,32,5,6.4,-3.5999999999999996,2011,bat,1,2011-12-30,Melbourne Renegades,Melbourne Renegades
524927,6,39,1,14,6.5,19.5,1.3,0.3,0,36,1,7.2,5.2,2012,bat,0,2012-01-01,Hobart Hurricanes,Sydney Thunder
524927,10,75,1,10,7.5,37.5,3.409090909090909,0.5,0,37,1,7.4,5.4,2012,bat,0,2012-01-01,Hobart Hurricanes,Sydney Thunder
524927,15,109,2,5,7.266666666666667,36.333333333333336,6.055555555555556,0.75,0,34,1,6.8,4.8,2012,bat,0,2012-01-01,Hobart Hurricanes,Sydney Thunder
