match_id,checkpoint,season,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,venue,toss_winner,winner,batting_first_team,target_batfirst,par_runs_cp_final,par_gap_cp,exp_remain_final,exp_final_20,resource_frac
524930,20,2012,136,10,0,6.8,12.363636363636363,12.363636363636363,1.0,25,6,5.0,-7.0,Melbourne Cricket Ground,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,137.65625,-1.65625,0.0,136.0,0.0
524933,6,2012,34,1,14,5.666666666666667,17.0,1.1333333333333333,0.3,30,1,6.0,4.0,Stadium Australia,Sydney Sixers,Sydney Sixers,Sydney Sixers,1,47.2952380952381,-13.295238095238098,119.83809523809524,153.83809523809524,0.7415098003763451
524933,10,2012,56,5,10,5.6,9.333333333333334,0.8484848484848485,0.5,28,4,5.6,-2.4000000000000004,Stadium Australia,Sydney Sixers,Sydney Sixers,Sydney Sixers,1,62.666666666666664,-6.666666666666664,61.875,117.875,0.38285754464913513
524933,15,2012,103,7,5,6.866666666666666,12.875,2.1458333333333335,0.75,47,2,9.4,5.4,Stadium Australia,Sydney Sixers,Sydney Sixers,Sydney Sixers,1,90.33333333333333,12.666666666666671,31.38888888888889,134.38888888888889,0.19422178471538618
524934,6,2012,55,0,14,9.166666666666666,55.0,3.6666666666666665,0.3,49,0,9.8,9.8,Western Australia Cricket Association Ground,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,53.71028037383178,1.2897196261682211,122.3644859813084,177.3644859813084,0.7571420873544606
524934,10,2012,93,0,10,9.3,93.0,8.454545454545455,0.5,45,0,9.0,9.0,Western Australia Cricket Association Ground,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,87.27586206896552,5.724137931034477,97.86206896551724,190.86206896551724,0.6055310131462183
524934,15,2012,128,1,5,8.533333333333333,64.0,10.666666666666666,0.75,35,1,7.0,5.0,Western Australia Cricket Association Ground,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,134.52,-6.52000000000001,53.76,181.76,0.3326451975812122
524934,20,2012,184,5,0,9.2,30.666666666666668,30.666666666666668,1.0,56,4,11.2,3.1999999999999993,Western Australia Cricket Association Ground,Perth Scorchers,Perth Scorchers,Perth Scorchers,1,174.51111111111112,9.48888888888888,0.0,184.0,0.0
524935,6,2012,55,0,14,9.166666666666666,55.0,3.6666666666666665,0.3,49,0,9.8,9.8,"Bellerive Oval, Hobart",Melbourne Stars,Melbourne Stars,Melbourne Stars,1,53.71028037383178,1.2897196261682211,122.3644859813084,177.3644859813084,0.7571420873544606
524935,10,2012,100,0,10,10.0,100.0,9.090909090909092,0.5,55,0,11.0,11.0,"Bellerive Oval, Hobart",Melbourne Stars,Melbourne Stars,Melbourne Stars,1,87.27586206896552,12.724137931034477,97.86206896551724,197.86206896551724,0.6055310131462183
